ticker,stage,rmse,mape,da,feature_count,predictions_count,model,api_type
AFLT,8,1.525483529901256,1.7680568665617284,33.33333333333333,797,10,BaseLine,baseline
LKOH,8,85.93660454078926,1.0694180375929607,55.55555555555556,797,10,BaseLine,baseline
MOEX,8,4.33388393937816,1.764108494990687,33.33333333333333,797,10,BaseLine,baseline
NVTK,8,37.61180665695279,2.638871487070123,44.44444444444444,797,10,BaseLine,baseline
PIKK,8,16.892927514199553,2.7752478313014137,55.55555555555556,797,10,BaseLine,baseline
SBER,8,4.398739592201383,1.1674370461636017,55.55555555555556,797,10,BaseLine,baseline
VKCO,8,8.75425610774553,2.4589202658856704,33.33333333333333,797,10,BaseLine,baseline
VTBR,8,3.518061966480974,1.9584520066392912,66.66666666666666,797,10,BaseLine,baseline
X5,8,52.147147572997696,1.748620254357223,33.33333333333333,797,10,BaseLine,baseline
YDEX,8,75.06630402517497,1.5345968914492636,44.44444444444444,797,10,BaseLine,baseline
AFLT,7,1.6639561292293723,1.9834846572407145,33.33333333333333,797,10,Qwen-QwQ,openrouter
LKOH,7,111.14056343207912,1.3426984396921706,66.66666666666666,797,10,Qwen-QwQ,openrouter
MOEX,7,4.801797580073524,2.0209273675565345,33.33333333333333,797,10,Qwen-QwQ,openrouter
NVTK,7,46.76430262497239,3.201615396141998,55.55555555555556,797,10,Qwen-QwQ,openrouter
PIKK,7,18.558833206858672,3.1198995898742043,55.55555555555556,797,10,Qwen-QwQ,openrouter
SBER,7,5.04920785866456,1.3214005404613487,44.44444444444444,797,10,Qwen-QwQ,openrouter
VKCO,7,9.27627619252467,2.8838864622101807,44.44444444444444,797,10,Qwen-QwQ,openrouter
VTBR,7,3.616178922564535,2.427467951874044,33.33333333333333,797,10,Qwen-QwQ,openrouter
X5,7,57.2413748961361,2.1555459982983933,33.33333333333333,797,10,Qwen-QwQ,openrouter
YDEX,7,83.37220759941529,1.6081274972656452,44.44444444444444,797,10,Qwen-QwQ,openrouter
AFLT,7,1.6575976592647574,2.0230173959901885,44.44444444444444,797,10,MiniMax-M1,openrouter
LKOH,7,139.04200937126885,1.7420584686363008,66.66666666666666,797,10,MiniMax-M1,openrouter
MOEX,7,4.8817752918379975,2.002946279411789,33.33333333333333,797,10,MiniMax-M1,openrouter
AFLT,8,1.525483529901256,1.7680568665617284,33.33333333333333,797,10,BaseLine,baseline
LKOH,8,85.93660454078926,1.0694180375929607,55.55555555555556,797,10,BaseLine,baseline
MOEX,8,4.33388393937816,1.764108494990687,33.33333333333333,797,10,BaseLine,baseline
NVTK,8,37.61180665695279,2.638871487070123,44.44444444444444,797,10,BaseLine,baseline
PIKK,8,16.892927514199553,2.7752478313014137,55.55555555555556,797,10,BaseLine,baseline
SBER,8,4.398739592201383,1.1674370461636017,55.55555555555556,797,10,BaseLine,baseline
VKCO,8,8.75425610774553,2.4589202658856704,33.33333333333333,797,10,BaseLine,baseline
VTBR,8,3.518061966480974,1.9584520066392912,66.66666666666666,797,10,BaseLine,baseline
X5,8,52.147147572997696,1.748620254357223,33.33333333333333,797,10,BaseLine,baseline
YDEX,8,75.06630402517497,1.5345968914492636,44.44444444444444,797,10,BaseLine,baseline
AFLT,7,1.6654879164977427,1.983812868709476,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
LKOH,7,95.37345149463762,1.214958267566057,66.66666666666666,797,10,ChatGPT-o4-mini,openrouter
MOEX,7,4.594246401750778,1.9527033787716814,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
NVTK,7,40.418613162749644,2.723624310338615,55.55555555555556,797,10,ChatGPT-o4-mini,openrouter
PIKK,7,18.18367812077634,3.101794476925808,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
SBER,7,4.962918496207643,1.3680766340798522,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
VKCO,7,10.142900965700104,3.0758643546532562,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
VTBR,7,3.5016838806494204,2.332634490209496,55.55555555555556,797,10,ChatGPT-o4-mini,openrouter
X5,7,52.58896186463467,1.8696744392633629,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
YDEX,7,80.0182351717406,1.533938827485347,33.33333333333333,797,10,ChatGPT-o4-mini,openrouter
