Этап,Описание этапа,Ранг,Признак,Важность
2,+ Аномалии,1,close_lag_14,0.8976367733360708
2,+ Аномалии,2,close_lag_1,0.01989326738214269
2,+ Аномалии,3,close_lag_13,0.017875689594949232
2,+ Аномалии,4,close_lag_3,0.017175772184763398
2,+ Аномалии,5,close_lag_2,0.012695622241307714
3,+ Новости,1,close_lag_14,0.9030724415370838
3,+ Новости,2,close_lag_3,0.019836158782483976
3,+ Новости,3,close_lag_1,0.015369916180410437
3,+ Новости,4,close_lag_13,0.014382480426701654
3,+ Новости,5,close_lag_4,0.009113234741859072
4,+ Свечи,1,close_lag_14,0.7225397985716049
4,+ Свечи,2,low_lag_7,0.09164013504468457
4,+ Свечи,3,high_lag_7,0.048640616663778516
4,+ Свечи,4,low_lag_6,0.041657631450496196
4,+ Свечи,5,close_lag_3,0.014378007028401339
5,+ Технические индикаторы,1,close_lag_14,0.7117479195481693
5,+ Технические индикаторы,2,low_lag_7,0.08882363490348903
5,+ Технические индикаторы,3,high_lag_7,0.04546166481460394
5,+ Технические индикаторы,4,low_lag_6,0.03705681634292606
5,+ Технические индикаторы,5,VWAP_lag_7,0.008107079687869598
6,+ PCA компоненты,1,close_lag_14,0.7122735214238441
6,+ PCA компоненты,2,low_lag_7,0.08938916250887248
6,+ PCA компоненты,3,high_lag_7,0.044387721917813434
6,+ PCA компоненты,4,low_lag_6,0.03783050174453885
6,+ PCA компоненты,5,VWAP_lag_3,0.007196304431890127
